Time [s],Channel A [V],Channel B [V]
0.22421875,0.009924,-0.025
0.224609375,0.009924,0
0.225,0.007443,-0.025
0.225390625,0.007443,-0.025
0.22578125,0.007443,0
0.226171875,0.009924,-0.025
0.2265625,0.009924,0
0.226953125,0.007443,0
0.22734375,0.007443,0
0.227734375,0.007443,0
0.228125,0.009924,0
0.228515625,0.007443,0
0.22890625,0.007443,0
0.229296875,0.007443,-0.025
0.2296875,0.007443,-0.025
0.230078125,0.004962,0
0.23046875,0.004962,0
0.230859375,0.004962,-0.025
0.23125,0.002481,0
0.231640625,0.004962,-0.025
0.23203125,0.004962,0
0.232421875,0.004962,0
0.2328125,0.004962,-0.025
0.233203125,0.002481,0
0.23359375,0.004962,0
0.233984375,0.004962,0.025
0.234375,0.002481,0
0.234765625,0.004962,0
0.23515625,0.002481,0.025
0.235546875,0.004962,0.025
0.2359375,0,0
0.236328125,0,-0.025
0.23671875,0,0
0.237109375,0,0.025
0.2375,0,0
0.237890625,-0.002481,0
0.23828125,-0.007443,-0.025
0.238671875,-0.002481,0
0.2390625,-0.002481,0
0.239453125,-0.004962,0.025
0.23984375,-0.007443,0
0.240234375,-0.007443,0
0.240625,-0.009924,0
0.241015625,-0.012405,0
0.24140625,-0.017367,0
0.241796875,-0.017367,0
0.2421875,-0.019848,0
0.242578125,-0.02481,0
0.24296875,-0.027291,0
0.243359375,-0.029772,0
0.24375,-0.039696,-0.025
0.244140625,-0.039696,-0.025
0.24453125,-0.042177,0
0.244921875,-0.04962,0
0.2453125,-0.057063,0
0.245703125,-0.064506,0.025
0.24609375,-0.071949,0
0.246484375,-0.079392,-0.025
0.246875,-0.089316,-0.025
0.247265625,-0.09924,0
0.24765625,-0.109164,0
0.248046875,-0.111645,0
0.2484375,-0.121569,0.025
0.248828125,-0.12405,0.025
0.24921875,-0.12405,0
0.249609375,-0.119088,0
0.25,-0.104202,0
0.250390625,-0.089316,-0.025
0.25078125,-0.062025,-0.05
0.251171875,-0.02481,0.025
0.2515625,0.009924,0
0.251953125,0.044658,0
0.25234375,0.079392,0.025
0.252734375,0.106683,0
0.253125,0.126531,-0.025
0.253515625,0.138936,0
0.25390625,0.141417,0
0.254296875,0.143898,-0.05
0.2546875,0.141417,-0.025
0.255078125,0.133974,0
0.25546875,0.12405,0
0.255859375,0.111645,0
0.25625,0.104202,0
0.256640625,0.096759,-0.025
0.25703125,0.086835,-0.025
0.257421875,0.076911,0
0.2578125,0.071949,-0.025
0.258203125,0.064506,0
0.25859375,0.059544,0
0.258984375,0.052101,0
0.259375,0.04962,-0.025
0.259765625,0.044658,-0.025
0.26015625,0.042177,-0.025
0.260546875,0.037215,-0.025
0.2609375,0.034734,-0.025
0.261328125,0.027291,0
0.26171875,0.029772,0
0.262109375,0.02481,-0.025
0.2625,0.027291,0
0.262890625,0.022329,0
0.26328125,0.022329,-0.025
0.263671875,0.019848,0
0.2640625,0.019848,0
0.264453125,0.017367,0
0.26484375,0.014886,0.025
0.265234375,0.014886,-0.025
0.265625,0.014886,0
0.266015625,0.014886,0
0.26640625,0.012405,-0.025
0.266796875,0.012405,-0.025
0.2671875,0.009924,0
0.267578125,0.012405,-0.025
0.26796875,0.009924,-0.025
0.268359375,0.009924,0
0.26875,0.009924,0
0.269140625,0.009924,-0.05
0.26953125,0.009924,0.025
0.269921875,0.009924,0
0.2703125,0.009924,0
0.270703125,0.009924,-0.05
0.27109375,0.007443,0
0.271484375,0.009924,0.025
0.271875,0.007443,0
0.272265625,0.007443,0
0.27265625,0.007443,0.025
0.273046875,0.004962,-0.025
0.2734375,0.004962,0.025
0.273828125,0.007443,0.025
0.27421875,0.007443,-0.025
0.274609375,0.004962,0
0.275,0.004962,0
0.275390625,0.004962,0
0.27578125,0.004962,0
0.276171875,0.004962,0
0.2765625,0.007443,0
0.276953125,0.004962,0
0.27734375,0.002481,0
0.277734375,0.004962,0.025
0.278125,0.004962,-0.025
0.278515625,0,0
0.27890625,0.002481,0.025
0.279296875,0.002481,0
0.2796875,0,-0.05
0.280078125,0,0.025
0.28046875,0,0.025
0.280859375,0.002481,0.025
